Title="THE AIRCOEF"
Variables=
iter
<i>C<sub>L</sub></i>
<i>C<sub>D</sub></i>
<i>C<sub>Z</sub></i>
<i>C<sub>D_p</sub></i>
<i>C<sub>D_f</sub></i>
<i>C<sub>D</sub></i>-<i>C<sub>L</sub></i><sup>2</sup>/(<greek>p</greek><math>4</math>A<sub>r</sub>)</i>
<i>X<sub>cp</sub></i>
<i>C<sub>A</sub></i>
<i>C<sub>N</sub></i>
<i>C<sub>Z1</sub></i>
<i>C<sub>ml</sub></i>
<i>C<sub>mn</sub></i>
<i>C<sub>m</sub></i>
"Walltime"
100	2.5623673870e-01	2.0656699265e-01	0.0000000000e+00	1.1333700832e-01	9.3229984328e-02	2.0436706034e-01	6.0509797742e-01	1.9384970090e-01	2.6598774816e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6094864843e-01	3.4030000000e+00
200	7.1284904618e-01	2.5243970436e-02	0.0000000000e+00	1.6157864212e-02	9.0861062242e-03	8.2176160833e-03	4.8940476813e-01	-9.4841967355e-03	7.1323283064e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.4905954810e-01	6.8260000000e+00
300	7.2606497834e-01	3.9944419193e-02	0.0000000000e+00	3.3479847380e-02	6.4645718138e-03	2.2280889194e-02	3.6687688857e-01	4.5555354434e-03	7.2714864815e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6677403356e-01	1.0084000000e+01
400	8.3828585340e-01	2.7703036761e-02	0.0000000000e+00	2.1018691628e-02	6.6843451329e-03	4.1573806664e-03	3.5722187485e-01	-1.3133737617e-02	8.3864064723e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.9958078433e-01	1.3493000000e+01
500	8.6153005151e-01	1.7361289177e-02	0.0000000000e+00	1.1165316738e-02	6.1959724393e-03	-7.5082297179e-03	3.7844457184e-01	-2.4594648265e-02	8.6135390363e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2597470926e-01	1.6821000000e+01
600	8.6517755046e-01	2.0021552939e-02	0.0000000000e+00	1.4144440396e-02	5.8771125431e-03	-5.0589941574e-03	3.7892699488e-01	-2.2115081484e-02	8.6512656852e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2781981080e-01	2.0148000000e+01
700	8.5090086504e-01	2.1079205481e-02	0.0000000000e+00	1.5399798996e-02	5.6794064851e-03	-3.1804401309e-03	3.7142730767e-01	-2.0363758624e-02	8.5091828771e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1605428865e-01	2.3708000000e+01
800	8.4546764726e-01	1.9773546103e-02	0.0000000000e+00	1.4199778865e-02	5.5737672383e-03	-4.1772806333e-03	3.6865068666e-01	-2.1403406046e-02	8.4542795666e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1166759674e-01	2.7074000000e+01
900	8.4614729001e-01	1.8965626725e-02	0.0000000000e+00	1.3448108614e-02	5.5175181113e-03	-5.0237220024e-03	3.6909386341e-01	-2.2243449668e-02	8.4606746796e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1227831046e-01	3.0308000000e+01
1000	8.4665587401e-01	1.9378382619e-02	0.0000000000e+00	1.3900127115e-02	5.4782555033e-03	-4.6398127778e-03	3.6892169775e-01	-2.1855938588e-02	8.4659554018e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.1232746399e-01	3.3570000000e+01
